11/13/2020 09:21:55.60 	w3wp.exe (0x409C)                       	0x34CC	SharePoint Foundation         	Monitoring                    	nasq	Medium  	Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:21:55.60 	w3wp.exe (0x409C)                       	0x34CC	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:21:55.60 	w3wp.exe (0x409C)                       	0x34CC	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:21:55.69 	w3wp.exe (0x409C)                       	0x1328	SharePoint Foundation         	Monitoring                    	nasq	Medium  	Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:21:55.69 	w3wp.exe (0x409C)                       	0x1328	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:21:56.48 	w3wp.exe (0x409C)                       	0x1328	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:03.13 	w3wp.exe (0x409C)                       	0x3D20	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:03.13 	w3wp.exe (0x409C)                       	0x3D20	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:03.16 	w3wp.exe (0x409C)                       	0x3D20	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:03.18 	w3wp.exe (0x409C)                       	0x2A00	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:03.18 	w3wp.exe (0x409C)                       	0x2A00	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:03.44 	w3wp.exe (0x409C)                       	0x2A00	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:03.65 	w3wp.exe (0x409C)                       	0x0268	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:03.65 	w3wp.exe (0x409C)                       	0x0268	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:03.67 	w3wp.exe (0x409C)                       	0x0268	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:03.69 	w3wp.exe (0x409C)                       	0x3D20	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:03.69 	w3wp.exe (0x409C)                       	0x3D20	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:15.84 	w3wp.exe (0x409C)                       	0x3D20	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:43.30 	w3wp.exe (0x409C)                       	0x2184	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:43.30 	w3wp.exe (0x409C)                       	0x2184	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:43.33 	w3wp.exe (0x409C)                       	0x2184	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:43.35 	w3wp.exe (0x409C)                       	0x2A44	SharePoint Foundation         	Monitoring                    	nasq	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:43.35 	w3wp.exe (0x409C)                       	0x2A44	SharePoint Foundation         	Logging Correlation Data      	xmnv	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
11/13/2020 09:22:43.63 	w3wp.exe (0x409C)                       	0x2A44	SharePoint Foundation         	Monitoring                    	b4ly	Medium  	/Reports/IT%20Updater%20Historical%20Strategy%20Information%20Lookthrough%20Reporting%20Database.rdl
